Country,Date,Cases,Deaths,Summary,Bordering Countries
0,2005-01-03,33,13.0,"Note that year 2004 had 53 weeks. Hence the first week of year 2005 extends from 03 to 09 January. At week 1, 2005, among the 8 countries that reported weekly data to the MDSC, there was no alert or epidemic district.At week 2, 2005, the district of Saponé in Burkina Faso reached the alert threshold. Among the 5 CSF specimens analyzed by Gram, 3 were Gram-positive diplococcus, and 2 specimens were negative. These results evoke S. pneumoniae.In Burkina Faso the district of Batié is in epidemic phase (AR 15.8). Cases were recruited from two neighbouring health facilities with one bordering Ghana. The results of 9 CSF specimens collected showed: 2 GND (1 confirmed NmA with latex) and 1 GNB. A national investigation team is actually on the field. Batié was vaccinated in 2003 with the bivalent vaccine (AC).","[23, 15, 14, 1]"
1,2005-01-03,733,169.0,"Note that year 2004 had 53 weeks. Hence the first week of year 2005 extends from 03 to 09 January. At week 1, 2005, among the 8 countries that reported weekly data to the MDSC, there was no alert or epidemic district.At week 2, 2005, the district of Saponé in Burkina Faso reached the alert threshold. Among the 5 CSF specimens analyzed by Gram, 3 were Gram-positive diplococcus, and 2 specimens were negative. These results evoke S. pneumoniae.No district had reached the alert or epidemic threshold during the 3rd week.District of P, Burkina Faso reached the alert threshold at week 4, with 8 cases (attack rate 5.3 cases/100 000 inhabitants). The 5 cases come from 5 different health centres. The laboratory analysis of CSFs collected showed 3 Gram positive diplococcus; 3 Gram negative diplococcus and 2 negative results.In Burkina Faso the district of Batié is in epidemic phase (AR 15.8). Cases were recruited from two neighbouring health facilities with one bordering Ghana. The results of 9 CSF specimens collected showed: 2 GND (1 confirmed NmA with latex) and 1 GNB. A national investigation team is actually on the field. Batié was vaccinated in 2003 with the bivalent vaccine (AC).","[12, 14, 0, 23, 7, 5]"
5,2005-01-03,28,2.0,"Note that year 2004 had 53 weeks. Hence the first week of year 2005 extends from 03 to 09 January. At week 1, 2005, among the 8 countries that reported weekly data to the MDSC, there was no alert or epidemic district.At week 2, 2005, the district of Saponé in Burkina Faso reached the alert threshold. Among the 5 CSF specimens analyzed by Gram, 3 were Gram-positive diplococcus, and 2 specimens were negative. These results evoke S. pneumoniae.No district had reached the alert or epidemic threshold during the 3rd week.","[7, 12, 1]"
12,2005-01-03,104,3.0,"Note that year 2004 had 53 weeks. Hence the first week of year 2005 extends from 03 to 09 January. At week 1, 2005, among the 8 countries that reported weekly data to the MDSC, there was no alert or epidemic district.At week 2, 2005, the district of Saponé in Burkina Faso reached the alert threshold. Among the 5 CSF specimens analyzed by Gram, 3 were Gram-positive diplococcus, and 2 specimens were negative. These results evoke S. pneumoniae.No district had reached the alert or epidemic threshold during the 3rd week.District of Pô, Burkina Faso reached the alert threshold at week 4, with 8 cases (attack rate 5.3 cases/100 000 inhabitants). The 5 cases come from 5 different health centres. The laboratory analysis of CSFs collected showed 3 Gram positive diplococcus; 3 Gram negative diplococcus and 2 negative results.In Burkina Faso the district of Batié is in epidemic phase (AR 15.8). Cases were recruited from two neighbouring health facilities with one bordering Ghana. The results of 9 CSF specimens collected showed: 2 GND (1 confirmed NmA with latex) and 1 GNB. A national investigation team is actually on the field. Batié was vaccinated in 2003 with the bivalent vaccine (AC).","[14, 1, 5, 8, 13, 17]"
14,2005-01-03,127,15.0,"Note that year 2004 had 53 weeks. Hence the first week of year 2005 extends from 03 to 09 January. At week 1, 2005, among the 8 countries that reported weekly data to the MDSC, there was no alert or epidemic district.At week 2, 2005, the district of Saponé in Burkina Faso reached the alert threshold. Among the 5 CSF specimens analyzed by Gram, 3 were Gram-positive diplococcus, and 2 specimens were negative. These results evoke S. pneumoniae.No district had reached the alert or epidemic threshold during the 3rd week.In Burkina Faso the district of Batié is in epidemic phase (AR 15.8). Cases were recruited from two neighbouring health facilities with one bordering Ghana. The results of 9 CSF specimens collected showed: 2 GND (1 confirmed NmA with latex) and 1 GNB. A national investigation team is actually on the field. Batié was vaccinated in 2003 with the bivalent vaccine (AC).","[0, 15, 1, 12, 22]"
16,2005-01-03,414,68.0,"Note that year 2004 had 53 weeks. Hence the first week of year 2005 extends from 03 to 09 January. At week 1, 2005, among the 8 countries that reported weekly data to the MDSC, there was no alert or epidemic district.At week 2, 2005, the district of Saponé in Burkina Faso reached the alert threshold. Among the 5 CSF specimens analyzed by Gram, 3 were Gram-positive diplococcus, and 2 specimens were negative. These results evoke S. pneumoniae.No district had reached the alert or epidemic threshold during the 3rd week.District of Pô, Burkina Faso reached the alert threshold at week 4, with 8 cases (attack rate 5.3 cases/100 000 inhabitants). The 5 cases come from 5 different health centres. The laboratory analysis of CSFs collected showed 3 Gram positive diplococcus; 3 Gram negative diplococcus and 2 negative results.","[2, 4, 18, 21, 24]"
22,2005-01-03,21,2.0,"Note that year 2004 had 53 weeks. Hence the first week of year 2005 extends from 03 to 09 January. At week 1, 2005, among the 8 countries that reported weekly data to the MDSC, there was no alert or epidemic district.No district had reached the alert or epidemic threshold during the 3rd week.District of Pô, Burkina Faso reached the alert threshold at week 4, with 8 cases (attack rate 5.3 cases/100 000 inhabitants). The 5 cases come from 5 different health centres. The laboratory analysis of CSFs collected showed 3 Gram positive diplococcus; 3 Gram negative diplococcus and 2 negative results.In Burkina Faso the district of Batié is in epidemic phase (AR 15.8). Cases were recruited from two neighbouring health facilities with one bordering Ghana. The results of 9 CSF specimens collected showed: 2 GND (1 confirmed NmA with latex) and 1 GNB. A national investigation team is actually on the field. Batié was vaccinated in 2003 with the bivalent vaccine (AC).","[19, 4, 3, 14, 15]"
23,2005-01-03,28,3.0,"Note that year 2004 had 53 weeks. Hence the first week of year 2005 extends from 03 to 09 January. At week 1, 2005, among the 8 countries that reported weekly data to the MDSC, there was no alert or epidemic district.At week 2, 2005, the district of Saponé in Burkina Faso reached the alert threshold. Among the 5 CSF specimens analyzed by Gram, 3 were Gram-positive diplococcus, and 2 specimens were negative. These results evoke S. pneumoniae.In Burkina Faso the district of Batié is in epidemic phase (AR 15.8). Cases were recruited from two neighbouring health facilities with one bordering Ghana. The results of 9 CSF specimens collected showed: 2 GND (1 confirmed NmA with latex) and 1 GNB. A national investigation team is actually on the field. Batié was vaccinated in 2003 with the bivalent vaccine (AC).","[7, 1, 0, 8]"
7,2005-01-03,13,6.0,In Burkina Faso the district of Batié is in epidemic phase (AR 15.8). Cases were recruited from two neighbouring health facilities with one bordering Ghana. The results of 9 CSF specimens collected showed: 2 GND (1 confirmed NmA with latex) and 1 GNB. A national investigation team is actually on the field. Batié was vaccinated in 2003 with the bivalent vaccine (AC).,"[8, 5, 1, 23]"
0,2005-02-07,42,9.0,"This week, 3 new districts reached the Alert threshold : Diebougou in Burkina Faso (5 cases and 1 death, with AR = 5.3) Pô in Burkina Faso (12 cases and 0 death, with AR = 7.6) Basila in Benin (5 cases and 0 death, with AR = 6.1) Diebougou was vaccinated in 2004 with bivalent (AC) vaccine. Pô was vaccinated in 2003 with trivalent ACW vaccine. In Batié, which reached the epidemic threshold at week 5, from 13 CSF specimen collected, 8 are positive to NmA. Batié was vaccinated in 2003 with the bivalent vaccine (AC).Burkina Faso: Batié counts 11 cases with 1 death (attack rate=17.4) Côte d'Ivoire: Bouna district (in the north east) is declared in epidemic since week 04/2005. The data are not yet received. Notice that Bouna is a neighbouring district of Batié (see the map).In Burkina Faso: Batie is always in epidemic (15 cases: 15, 2 deaths with A.R: 28.8). 5 Nm.A, coming from this district and were identified by Pastorex. Two districts reached the alert threshold: Diebougou (5 cases, 2 death with A.R: 5.3) and Nanoro (7 cases, 1 death with A.R: 5.3) NB: Diébougou had already reached the alert threshold at week 6.Batié district in Burkina remained in epidemic with 7 cases without death and an attack rate of 11 cases for 100 000 inhabitants. The outbreak of Bouna district in Côte d’Ivoire, announced last week, is officially declared by the authorities. 10 cases and 2 deaths were reported for February 21st-27th, 2005 (week 8). Bongor district in Chad crossed epidemic threshold during week 9 (54 cases and 3 deaths with an attack rate of 22 cases for 100 000 inhabitants).","[23, 15, 14, 1]"
1,2005-02-07,794,170.0,"This week, 3 new districts reached the Alert threshold : Diebougou in Burkina Faso (5 cases and 1 death, with AR = 5.3) Pô in Burkina Faso (12 cases and 0 death, with AR = 7.6) Basila in Benin (5 cases and 0 death, with AR = 6.1) Diebougou was vaccinated in 2004 with bivalent (AC) vaccine. Pô was vaccinated in 2003 with trivalent ACW vaccine. In Batié, which reached the epidemic threshold at week 5, from 13 CSF specimen collected, 8 are positive to NmA. Batié was vaccinated in 2003 with the bivalent vaccine (AC).Burkina Faso: Batié counts 11 cases with 1 death (attack rate=17.4) Côte d'Ivoire: Bouna district (in the north east) is declared in epidemic since week 04/2005. The data are not yet received. Notice that Bouna is a neighbouring district of Batié (see the map).In Burkina Faso: Batie is always in epidemic (15 cases: 15, 2 deaths with A.R: 28.8). 5 Nm.A, coming from this district and were identified by Pastorex. Two districts reached the alert threshold: Diebougou (5 cases, 2 death with A.R: 5.3) and Nanoro (7 cases, 1 death with A.R: 5.3) NB: Diébougou had already reached the alert threshold at week 6.Batié district in Burkina remained in epidemic with 7 cases without death and an attack rate of 11 cases for 100 000 inhabitants. The outbreak of Bouna district in Côte d’Ivoire, announced last week, is officially declared by the authorities. 10 cases and 2 deaths were reported for February 21st-27th, 2005 (week 8). Bongor district in Chad crossed epidemic threshold during week 9 (54 cases and 3 deaths with an attack rate of 22 cases for 100 000 inhabitants).","[12, 14, 0, 23, 7, 5]"
