Date,Cases,Deaths,Temperature,Rainfall
2/8/04,259,49,28.5325,3.85679
2/15/04,269,61,28.5325,3.85679
3/8/04,319,55,30.269,10.2506
3/15/04,388,66,30.269,10.2506
3/29/04,467,66,32.4674,46.1921
4/5/04,356,54,32.4674,46.1921
4/12/04,274,40,32.4674,46.1921
4/19/04,170,25,32.4674,46.1921
4/26/04,137,14,32.4674,46.1921
5/17/04,89,20,31.5926,56.5413
5/24/04,66,16,31.5926,56.5413
5/31/04,77,16,29.5943,87.688
6/7/04,63,14,29.5943,87.688
6/14/04,72,16,29.5943,87.688
6/21/04,59,10,29.5943,87.688
6/28/04,33,7,27.1094,87.688
7/5/04,30,4,27.1094,192.567
7/12/04,33,3,27.1094,192.567
7/19/04,27,3,27.1094,192.567
7/26/04,21,5,27.1094,192.567
8/2/04,28,5,27.0175,193.199
8/9/04,17,2,27.0175,193.199
8/16/04,28,7,27.0175,193.199
8/23/04,25,2,27.0175,193.199
8/30/04,21,4,27.7345,111.444
9/5/04,27,2,27.7345,111.444
9/13/04,23,1,27.7345,111.444
9/20/04,19,3,27.7345,111.444
9/27/04,31,10,27.7345,111.444
10/4/04,33,2,29.6785,24.6398
10/11/04,22,6,29.6785,24.6398
10/18/04,35,7,29.6785,24.6398
10/25/04,24,7,29.6785,24.6398
11/1/04,40,8,28.7956,6.62992
11/8/04,39,9,28.7956,6.62992
11/15/04,58,6,28.7956,6.62992
11/22/04,43,13,28.7956,6.62992
11/29/04,55,14,27.6252,0.13599
12/6/04,70,16,27.6252,0.13599
12/13/04,81,15,27.6252,0.13599
12/20/04,93,18,27.6252,0.13599
1/3/05,106,23,25.1837,0.1836
1/10/05,156,37,25.1837,0.1836
1/17/05,128,28,25.1837,0.1836
1/24/05,165,37,25.1837,0.1836
1/31/05,178,44,30.3974,1.28977
2/7/05,221,37,30.3974,1.28977
2/14/05,210,50,30.3974,1.28977
2/21/05,187,41,30.3974,1.28977
2/28/05,176,42,30.3974,1.28977
3/7/05,164,35,32.8932,10.8214
3/14/05,140,33,32.8932,10.8214
3/21/05,123,27,32.8932,10.8214
4/4/05,133,28,33.5932,24.6085
4/11/05,114,23,33.5932,24.6085
4/18/05,107,23,33.5932,24.6085
4/25/05,53,14,33.5932,24.6085
5/2/05,66,15,31.8426,63.8944
5/9/05,56,13,31.8426,63.8944
1/2/06,79,15,24.7407,0.24896
1/9/06,87,17,24.7407,0.24896
1/16/06,177,39,24.7407,0.24896
1/23/06,197,33,24.7407,0.24896
1/30/06,293,37,28.7259,0.64916
2/6/06,465,46,28.7259,0.64916
2/13/06,764,62,28.7259,0.64916
2/20/06,860,84,28.7259,0.64916
2/27/06,717,69,28.7259,4.74859
3/6/06,879,82,31.7418,4.74859
3/13/06,1595,135,31.7418,4.74859
3/20/06,2076,168,31.7418,4.74859
3/27/06,1934,144,31.7418,4.74859
4/3/06,1678,154,32.905,23.0334
4/10/06,1810,156,32.905,23.0334
4/17/06,2166,162,32.905,23.0334
4/24/06,1185,51,32.905,23.0334
5/29/06,312,32,31.9186,114.531
7/3/06,87,18,28.1075,150.632
7/31/06,67,11,28.1075,191.648
9/4/06,52,6,27.1796,172.434
10/30/06,26,4,29.1633,0.21906
11/6/06,25,3,27.3239,0.21906
11/20/06,191,29,27.3239,0.21906
12/17/06,134,15,25.2129,0.12388
1/8/07,152,20,24.6771,0.02665
1/15/07,209,27,24.6771,0.02665
1/22/07,295,32,24.6771,0.02665
1/29/07,510,46,24.6771,0.02665
2/5/07,794,59,28.37,0.09801
2/12/07,692,60,28.37,0.09801
2/19/07,840,63,28.37,0.09801
2/26/07,1333,108,28.37,3.12611
3/5/07,2375,151,31.3731,3.12611
3/12/07,3463,218,31.3731,3.12611
3/19/07,4697,300,31.3731,3.12611
3/27/07,4056,236,31.3731,3.12611
4/2/07,2706,153,32.6869,65.5499
4/9/07,1611,97,32.6869,65.5499
4/30/07,229,20,32.6869,49.6747
5/7/07,190,14,32.1326,49.6747
5/14/07,124,9,32.1326,49.6747
5/21/07,351,52,32.1326,49.6747
6/25/07,23,8,30.4788,87.2243
7/2/07,86,10,27.6322,193.919
7/30/07,68,8,27.6322,283.924
9/3/07,69,9,27.7216,127.446
10/5/07,512,91,29.8083,18.5614
1/1/08,774,124,22.8974,0.02936
1/28/08,267,25,22.8974,0.02936
2/4/08,377,53,27.4824,0.12144
2/11/08,516,51,27.4824,0.12144
2/18/08,575,53,27.4824,0.12144
2/25/08,668,58,27.4824,0.12144
3/3/08,880,75,31.2961,8.02858
3/10/08,985,78,31.2961,8.02858
3/17/08,846,65,31.2961,8.02858
3/24/08,702,66,31.2961,8.02858
3/31/08,590,64,32.5282,13.4063
4/7/08,595,47,32.5282,13.4063
4/14/08,603,50,32.5282,13.4063
4/21/08,500,51,32.5282,13.4063
4/28/08,278,28,32.5282,13.4063
5/5/08,139,16,31.9804,63.3027
5/12/08,74,6,31.9804,63.3027
5/19/08,47,8,31.9804,63.3027
5/26/08,47,6,31.9804,63.3027
6/2/08,43,7,29.6233,112.634
6/9/08,36,5,29.6233,112.634
6/16/08,32,3,29.6233,112.634
6/23/08,31,1,29.6233,112.634
6/30/08,106,18,27.0996,211.558
8/4/08,47,7,26.4077,250.003
9/1/08,69,8,27.4774,130.537
9/29/08,113,9,27.4774,42.1721
11/3/08,70,13,27.6421,0.28753
12/1/08,387,70,26.3533,0.11919
1/5/09,123,20,24.6896,0.02178
1/12/09,144,21,24.6896,0.02178
1/19/09,154,30,24.6896,0.02178
1/26/09,722,95,24.6896,0.02178
2/16/09,266,35,27.3736,0.9221
2/23/09,242,37,30.0576,0.9221
3/2/09,211,25,32.1568,12.7849
3/9/09,264,39,32.1568,12.7849
3/16/09,248,27,32.1568,12.7849
3/23/09,281,32,32.1568,12.7849
3/30/09,222,16,32.1568,14.6126
4/6/09,199,24,32.51975,14.6126
4/13/09,209,25,32.8827,14.6126
4/20/09,139,11,32.8827,14.6126
4/27/09,116,14,32.8827,14.6126
5/4/09,96,6,32.156,57.1547
5/11/09,66,11,32.156,57.1547
5/25/09,47,12,32.156,57.1547
