Date,Cases,Deaths,Temperature,Rainfall,GDP,Humidity,Population,Muslim,State,Alter. Diseases
1/5/15,50,2,24.7067,0.00572,10.42,27,17.6,1,1,2
1/19/15,58,5,24.7067,0.00572,10.42,34,17.6,1,1,2
1/26/15,76,10,24.7067,0.00572,10.42,26,17.6,1,2,2
2/2/15,89,7,29.3357,7.16171,10.42,36,17.6,1,2,2
2/9/15,104,17,29.3357,7.16171,10.42,41,17.6,1,2,2
2/23/15,91,8,29.3357,7.16171,10.42,28,17.6,1,2,2
3/2/15,86,9,31.2585,4.1542,10.42,29,17.6,1,2,2
3/9/15,109,10,31.2585,4.1542,10.42,33,17.6,1,2,2
3/16/15,138,18,31.2585,4.1542,10.42,48,17.6,1,3,2
3/23/15,122,13,31.2585,4.1542,10.42,49,17.6,1,3,2
3/30/15,91,11,33.0199,2.68815,10.42,35,17.6,1,2,2
4/6/15,130,13,33.0199,2.68815,10.42,45,17.6,1,3,2
4/13/15,121,11,33.0199,2.68815,10.42,34,17.7,1,3,2
4/20/15,123,15,33.0199,2.68815,10.42,43,17.7,1,3,2
4/27/15,117,17,33.0199,2.68815,10.42,54,17.7,1,2,2
5/4/15,118,18,33.5077,40.2411,10.42,64,17.7,1,2,2
5/11/15,90,7,33.5077,40.2411,10.42,66,17.7,1,2,2
5/18/15,68,6,33.5077,40.2411,10.42,68,17.7,1,1,2
5/25/15,56,6,33.5077,40.2411,10.42,68,17.7,1,1,2
6/1/15,39,3,30.8223,83.5477,10.42,71,17.8,1,0,2
6/8/15,27,1,30.8223,83.5477,10.42,70,17.8,1,0,2
6/15/15,36,6,30.8223,83.5477,10.42,71,17.8,1,0,2
6/22/15,19,3,30.8223,83.5477,10.42,72,17.8,1,0,2
6/29/15,120,7,30.8223,170.085,10.42,71,17.8,1,2,2
8/3/15,112,11,26.6816,285.25,10.42,74,17.9,1,2,2
8/31/15,64,4,28.1629,130.023,10.42,73,17.9,1,1,2
9/28/15,140,9,28.1629,130.023,10.42,75,17.9,1,3,2
11/2/15,127,11,28.1914,1.56747,10.42,57,18,1,3,2
11/30/15,216,14,24.159,0.92354,10.42,42,18.11,1,3,2
1/1/14,88,13,26.7283,2.66226,12.38,37,17.07,1,2,2
1/6/14,97,9,26.7283,2.66226,12.38,37,17.07,1,2,2
1/13/14,100,7,26.7283,2.66226,12.38,39,17.07,1,2,2
1/20/14,100,11,26.7283,2.66226,12.38,47,17.07,1,2,2
1/27/14,99,16,26.7283,2.66226,12.38,38,17.07,1,2,2
2/3/14,76,6,28.1943,0.15829,12.38,39,17.07,1,2,2
2/10/14,127,12,28.1943,0.15829,12.38,32,17.07,1,3,2
2/17/14,129,9,28.1943,0.15829,12.38,35,17.2,1,3,2
2/24/14,141,15,28.1943,0.15829,12.38,36,17.2,1,3,2
3/3/14,164,15,31.0998,10.4889,12.38,35,17.2,1,3,2
3/10/14,186,18,31.0998,10.4889,12.38,44,17.2,1,3,2
3/17/14,216,29,31.0998,10.4889,12.38,43,17.2,1,3,2
3/24/14,197,18,31.0998,10.4889,12.38,40,17.3,1,3,2
